,Unnamed: 0,date,qdpj,meidi,xpp,hksw,hryy,Rqdpj,Rmeidi,Rxpp,Rhksw,Rhryy
125,125,20201030,79.22,77.87,22.43,19.94,88.84,-0.09941000116979826,-0.0416281418218567,-0.055919225597407696,-0.02623263513950569,-0.024461971351794176
126,126,20201029,87.5,81.18,23.72,20.47,91.04,0.05039144553640629,0.05663683343954684,-0.013816422422245456,0.04803324503817796,-0.003508775529679653
127,127,20201028,83.2,76.71,24.05,19.51,91.36,0.04435889100940482,0.013121825855989755,-0.017312880902809802,-0.004602411601451806,0.023590439995640367
128,128,20201027,79.59,75.71,24.47,19.6,89.23,0.007440604350736457,-0.01246980783719387,0.03197282931349443,-0.002547772078798527,0.0005605067127296692
129,129,20201026,79.0,76.66,23.7,19.65,89.18,-0.0246308632310015,0.020426354254488466,0.007198845401814591,0.016936509530898203,0.01161689035545077
130,130,20201023,80.97,75.11,23.53,19.32,88.15,0.02843556027466576,-0.04287022165844245,-0.01308863945787797,-0.02099949125015188,-0.015868882886674207
131,131,20201022,78.7,78.4,23.84,19.73,89.56,0.010217202546654924,0.011545990997061217,-0.010016778243471247,-0.010085814190179399,-0.00022328904860025034
132,132,20201021,77.9,77.5,24.08,19.93,89.58,0.028647792433298847,0.015604998068890374,-0.017291497110061282,-0.01296129810004265,-0.015837309810110334
133,133,20201020,75.7,76.3,24.5,20.19,91.01,0.015576431549800596,0.01718482475410088,0.00943209781217158,0.01698342519154661,-0.0055881370422232735
134,134,20201019,74.53,75.0,24.27,19.85,91.52,-0.011605546120307508,0.0026702285558783956,-0.01958446927618951,-0.039511312273842414,-0.017116656651533724
135,135,20201016,75.4,74.8,24.75,20.65,93.1,-0.00792606527242068,-0.017230379887208436,-0.012447460453222536,0.005828088376199414,-0.000644260733118962
136,136,20201015,76.0,76.1,25.06,20.53,93.16,0.02464327170238967,0.011232361238654676,-0.009531446265552468,-0.031170109142418134,0.001718951862883955
137,137,20201014,74.15,75.25,25.3,21.18,93.0,-0.03106994474983349,-0.008469019786836007,-0.031130918595173362,0.09554627943946725,-0.007498696091119861
138,138,20201013,76.49,75.89,26.1,19.25,93.7,0.018339454563685464,0.025490137011513703,0.04305948946044724,0.007822725681208897,-0.005321992337941062
139,139,20201012,75.1,73.98,25.0,19.1,94.2,0.006411990977077231,0.008007099847336718,0.0,0.023842188962759803,0.02417523053198689
140,140,20201009,74.62,73.39,25.0,18.65,91.95,-0.0065451379049079605,0.010822764726221124,0.0691357388348619,0.028829845474991345,0.023437283390738806
141,141,20200930,75.11,72.6,23.33,18.12,89.82,0.041177092397838067,0.002068253064058112,-0.031226165761641944,0.014452725166480107,-0.0007790329257160167
142,142,20200929,72.08,72.45,24.07,17.86,89.89,0.008219033521322139,0.02162623522861029,-0.01852285927302999,0.01979142915059251,0.014680602090255235
143,143,20200928,71.49,70.9,24.52,17.51,88.58,-0.027863871607236135,0.008498634721462395,-0.023378735069727874,-0.02759961159840385,0.0014686778892576413
144,144,20200925,73.51,70.3,25.1,18.0,88.45,0.015077039985266438,-0.002273374096472658,-0.004372895062089821,-0.013793322132336083,0.006692782058161484
145,145,20200924,72.41,70.46,25.21,18.25,87.86,-0.023745657183211755,-0.008620133925711926,-0.012221717276760913,-0.022217115390697373,-0.022285671882555036
146,146,20200923,74.15,71.07,25.52,18.66,89.84,-0.0020208831397718896,0.016742729349766172,0.02660470593395159,0.02441130167968142,0.006028822547734514
147,147,20200922,74.3,69.89,24.85,18.21,89.3,-0.00830992585217416,-0.002001144178389147,0.0016109548389278139,0.01048864155932483,0.008998935868570257
148,148,20200921,74.92,70.03,24.81,18.02,88.5,-0.017071810102138762,-0.0035635416514701035,0.0016135542024415805,0.001110494284027208,-0.005409073364011974
149,149,20200918,76.21,70.28,24.77,18.0,88.98,0.004076003276441753,-0.004542881180299219,0.00892138926073871,0.019635974516858834,0.03069790885767887
150,150,20200917,75.9,70.6,24.55,17.65,86.29,-0.035590945102702776,0.01340387956134137,0.0020387366898479975,-0.007338446706453006,-0.0392028840276204
